"Reference","Qty","Value","Description","Footprint","LCSC"
"C1,C2,C3,C4","4","100nF","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","C49678"
"J2","1","BANK ADDR","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"J3","1","EXP","Generic connector, double row, 02x04, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R6","6","1k","Resistor","Resistor_SMD:R_0805_2012Metric","C17513"
"U1","1","65C816","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"U2","1","74HC00","quad 2-input NAND gate","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","C5586"
"U3","1","74HC245","Octal BUS Transceivers, 3-State outputs","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C5626"
"U4","1","74HC573","8-bit Latch 3-state outputs","Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm","C5608"
