"Reference","Qty","Value","Description","Footprint","LCSC"
"C1","1","100nF","Unpolarized capacitor","Capacitor_SMD:C_0805_2012Metric","C49678"
"J2","1","Conn_01x02","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"J3","1","EXP","Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"R1,R2,R3,R4,R5,R6","6","1k","Resistor","Resistor_SMD:R_0805_2012Metric","C17513"
"U1","1","65C02","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
