"Reference","Qty","Value","Description","Footprint"
"C1,C2,C3,C4","4","100nF","Unpolarized capacitor","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P2.50mm"
"D1,D2","2","D_Schottky","Schottky diode","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal"
"J1","1","6502 Bus","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 Bus Connector"
"J2","1","Conn_02x08_Odd_Even","","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical"
"J3","1","HVSYNC","Generic connector, single row, 01x01, script generated (kicad-library-utils/schlib/autogen/connector/)","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical"
"R1","1","10k","Resistor","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"
"U1","1","65C22","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads"
"U2","1","Adafruit 2.8 TFT LCD","","6502 Parts:Adafruit 2.8 TFT LCD"
"U3","1","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_DIP:DIP-16_W7.62mm_Socket_LongPads"
