"Reference","Qty","Value","Description","Footprint","Mouser","Digikey"
"J1,J2","2","6502 Card Connector","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:RHDR40W82P485X254_2X20_5740X93","571-5-5530843-4","A31723-ND"
"J3","1","6502 Bus","Generic connector, double row, 02x20, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 Bus Connector","","732-5401-ND"
